protein	Disease	id	nsnp	fdr	Ncase	Ncontrol	Ntotal	bxy	se	pqtl	p	qtl	b_qtl	se_qtl	p_qtl	chr
MCP-3	Crohn's disease	ebi-a-GCST004132	1	0.118724723684211	12194	28072	40266	0.527494	0.199305	rs7213460	0.0081289	rs3091315	-0.1579	0.0182	3.75837e-18	17
CST5	Rheumatoid arthritis	ieu-a-833	25	0.123270653571429	19234	61565	80799	-0.0713658	0.0274127	rs4815244	0.00923085	rs6083315	0.0676586	0.0190819	0.000949992	20
HGF	Crohn's disease	ebi-a-GCST004132	3	0.123270653571429	12194	28072	40266	0.318363	0.12129	rs5745687	0.00866963	rs112595099	0.3479	0.0915	0.000142699	7
IL-18R1	Inflammatory bowel disease	ebi-a-GCST004131	61	0.123270653571429	25042	34915	59957	0.0457945	0.0176148	rs2270297	0.00932859	rs1558619	-0.0843	0.0123	8.89611e-12	2
LAP TGF-beta-1	Inflammatory bowel disease	ebi-a-GCST004131	6	0.123270653571429	25042	34915	59957	-0.159924	0.0612733	rs1800472	0.009054	rs2604913	-0.0645	0.0124	2.16202e-07	19
CCL4	Multiple sclerosis	ieu-b-18	12	0.130201709302326	47429	68374	115803	0.135585	0.0526993	rs8064426	0.0100877	rs4796224	0.085449	0.0163132	1.62301e-07	17
CX3CL1	Type 1 diabetes	GCST90014023	13	0.140267420454545	18942	501638	520580	-0.135851	0.0535077	rs671623	0.0111203	rs3794652	0.078056	0.016955	4.15e-06	16
CD40	Gout	ebi-a-GCST001790	12	0.158143630434783	2115	67259	69374	0.1996	0.0804211	rs1883832	0.0130672	rs6090614	0.8	0.22	0.000259932	20
IL-15RA	Primary sclerosing cholangitis	ieu-a-1112	12	0.158143630434783	2871	12019	14890	-0.19124	0.0770869	rs2228059	0.0131074	rs4147359	0.216723	0.03	4.05602e-13	10
IL-15RA	Multiple sclerosis	ieu-b-18	19	0.172068893617021	47429	68374	115803	-0.0814894	0.0333583	rs2228059	0.0145716	rs11256593	0.186314	0.0173516	6.78266e-27	10
CX3CL1	Eczema	ieu-a-996	11	0.181352479591837	10788	30047	40835	-0.181257	0.0752507	rs671623	0.0160094	rs28438857	0.102816	0.0277595	0.000213998	16
SLAMF1	Inflammatory bowel disease	ebi-a-GCST004131	5	0.181352479591837	25042	34915	59957	0.152796	0.063436	rs60094514	0.0160113	rs10800309	-0.123	0.0133	1.94178e-20	1
CCL25	Rheumatoid arthritis	ieu-a-833	31	0.1893771	19234	61565	80799	-0.0561101	0.0235224	rs2032887	0.017061	rs60970422	0.113329	0.0295113	0.00016	19
MCP-4	Type 1 diabetes	GCST90014023	11	0.200105794117647	18942	501638	520580	-0.108987	0.0462258	rs3136676	0.0183881	rs11268345	0.281767	0.056705	6.73e-07	17
CCL23	Sepsis	ieu-b-69	27	0.211199336065574	10154	454764	464918	-0.0595297	0.02603	rs712048	0.0221978	rs1382131920	-0.141572	0.0473109	0.0012	17
CSF-1	Inflammatory bowel disease	ebi-a-GCST004131	5	0.211199336065574	25042	34915	59957	0.142555	0.0621476	rs17610659	0.0218008	rs2813773	0.0616	0.0133	3.45398e-06	1
CX3CL1	Inflammatory bowel disease	ebi-a-GCST004131	11	0.211199336065574	25042	34915	59957	0.118571	0.0516301	rs671623	0.0216441	rs16965220	-0.0526	0.0134	8.46506e-05	16
CX3CL1	Primary sclerosing cholangitis	ieu-a-1112	7	0.211199336065574	2871	12019	14890	-0.322781	0.141829	rs671623	0.0228556	rs867142	0.198851	0.067	0.00224047	16
IL-18	Asthma	ebi-a-GCST005212	3	0.211199336065574	19954	107715	127669	0.160426	0.0706751	rs5744249	0.0232129	rs578784	0.0490186	0.0146067	0.000791097	11
MMP-10	Systemic lupus erythematosus	ebi-a-GCST003156	33	0.211199336065574	5201	9066	14267	0.165286	0.0716656	rs17860955	0.021091	rs1940059	-0.198451	0.0491582	5.41427e-05	11
OPG	Crohn's disease	ebi-a-GCST004132	7	0.211199336065574	12194	28072	40266	0.176611	0.0772359	rs2247769	0.0222165	rs13264791	0.0663	0.0161	3.69803e-05	8
SLAMF1	Ulcerative colitis	ebi-a-GCST004133	5	0.211199336065574	12366	33609	45975	0.184493	0.0808444	rs60094514	0.022485	rs6658353	-0.1569	0.016	1.16788e-22	1
TRAIL	Crohn's disease	ebi-a-GCST004132	7	0.211199336065574	12194	28072	40266	-0.18351	0.0802313	rs574044675	0.0221809	rs6445040	-0.0775	0.0185	2.713e-05	3
TWEAK	Systemic lupus erythematosus	ebi-a-GCST003156	7	0.211199336065574	5201	9066	14267	0.283272	0.124439	rs34790908	0.0228223	rs3809822	0.182322	0.0345325	1.29384e-07	17
CXCL10	Inflammatory bowel disease	ebi-a-GCST004131	8	0.214975285714286	25042	34915	59957	-0.090879	0.0402765	rs11548618	0.024047	rs3796484	-0.0586	0.0144	4.71097e-05	4
TRAIL	Type 1 diabetes	GCST90014023	7	0.214975285714286	18942	501638	520580	-0.196383	0.087253	rs574044675	0.0244026	rs117883906	33.606979	7.841171	1.82e-05	3
LAP TGF-beta-1	Crohn's disease	ebi-a-GCST004132	6	0.22067840625	12194	28072	40266	-0.174213	0.0779639	rs1800472	0.0254476	rs2561528	-0.0775	0.0165	2.69699e-06	19
IL10RB	Inflammatory bowel disease	ebi-a-GCST004131	22	0.23511247826087	25042	34915	59957	0.0634128	0.0290835	rs2266590	0.0292302	rs2284553	0.0742	0.0128	7.40099e-09	21
MCP-2	Gout	ebi-a-GCST001790	20	0.23511247826087	2115	67259	69374	-0.088289	0.0404661	rs1133763	0.0291242	rs317364	-0.32	0.092	0.000669222	17
MCP-3	Inflammatory bowel disease	ebi-a-GCST004131	1	0.23511247826087	25042	34915	59957	0.329923	0.150355	rs7213460	0.0282137	rs11870407	-0.101	0.014	4.82503e-13	17
PD-L1	Inflammatory bowel disease	ebi-a-GCST004131	4	0.23511247826087	25042	34915	59957	-0.202916	0.0926538	rs822335	0.0285211	rs1887428	-0.1643	0.0131	2.46093e-36	9
PD-L1	Ulcerative colitis	ebi-a-GCST004133	4	0.23511247826087	12366	33609	45975	-0.261403	0.119493	rs822335	0.0286981	rs1887428	-0.167	0.0166	9.65162e-24	9
CXCL10	Crohn's disease	ebi-a-GCST004132	10	0.2448885	12194	28072	40266	-0.108988	0.0509063	rs11548618	0.0322783	rs3796484	-0.0666	0.0186	0.000330902	4
DNER	Ulcerative colitis	ebi-a-GCST004133	14	0.2448885	12366	33609	45975	0.116865	0.0543446	rs62193248	0.0315197	rs116112808	0.2117	0.0555	0.000138299	2
IL10RB	Ulcerative colitis	ebi-a-GCST004133	26	0.2448885	12366	33609	45975	0.0784663	0.0364766	rs2266590	0.0314652	rs78504926	0.2684	0.0693	0.0001075	21
IL-18R1	Multiple sclerosis	ieu-b-18	44	0.2448885	47429	68374	115803	-0.0442353	0.0207061	rs2270297	0.0326518	rs72995658	0.0752625	0.0239907	0.001706	2
MIP-1 alpha	Rheumatoid arthritis	ieu-a-833	15	0.2448885	19234	61565	80799	0.0774634	0.0361084	rs8951	0.0319286	rs2586514	0.0618754	0.0162886	0.00025	17
OPG	Inflammatory bowel disease	ebi-a-GCST004131	8	0.25864036	25042	34915	59957	0.123581	0.058599	rs2247769	0.0349514	rs2465383	0.0487	0.0128	0.000140501	8
IL10RB	Eczema	ieu-a-996	26	0.266339519230769	10788	30047	40835	0.0845263	0.0406111	rs2266590	0.0374009	rs1013059	-0.0616882	0.0167856	0.000239999	21
LAP TGF-beta-1	Ulcerative colitis	ebi-a-GCST004133	6	0.266339519230769	12366	33609	45975	-0.161451	0.0775826	rs1800472	0.0374315	rs187484847	0.5534	0.1446	0.0001302	19
TWEAK	Multiple sclerosis	ieu-b-18	6	0.266339519230769	47429	68374	115803	-0.162505	0.0780634	rs34790908	0.0373692	rs73250854	0.0808847	0.0268235	0.00256602	17
CCL25	Asthma	ebi-a-GCST005212	14	0.28076548125	19954	107715	127669	-0.0358635	0.0175037	rs2032887	0.0404707	rs12984649	-0.0684954	0.0197925	0.000538803	19
VEGF_A	Asthma	ebi-a-GCST005212	7	0.28076548125	19954	107715	127669	-0.0571603	0.0278948	rs6921438	0.0404485	rs9472195	0.0771904	0.0248618	0.00190419	6
CD6	Asthma	ebi-a-GCST005212	16	0.299934859756098	19954	107715	127669	0.0430793	0.0214208	rs2074227	0.0443147	rs174627	-0.0865997	0.0180819	1.67001e-06	11
LAP TGF-beta-1	Type 1 diabetes	GCST90014023	7	0.299934859756098	18942	501638	520580	-0.140355	0.0697521	rs1800472	0.0441984	rs760580723	27.704842	6.830166	4.99e-05	19
MCP-4	Crohn's disease	ebi-a-GCST004132	7	0.301121196428571	12194	28072	40266	-0.144906	0.0723955	rs3136676	0.0453286	rs3091315	-0.1579	0.0182	3.75837e-18	17
MIP-1 alpha	Eczema	ieu-a-996	38	0.301121196428571	10788	30047	40835	0.0901326	0.0450819	rs8951	0.0455751	rs191528235	-1.0114	0.223171	5.92994e-06	17
ADA	Inflammatory bowel disease	ebi-a-GCST004131	18	0.304180482352941	25042	34915	59957	0.047589	0.0239136	rs11555566	0.0465862	rs6017342	0.1156	0.0135	1.07103e-17	20
DNER	Type 1 diabetes	GCST90014023	16	0.329485430232558	18942	501638	520580	0.0991287	0.0508088	rs62193248	0.0510554	rs548371040	27.800485	6.650693	2.91e-05	2
CD244	Crohn's disease	ebi-a-GCST004132	9	0.332588164772727	12194	28072	40266	-0.117908	0.0607298	rs11265493	0.0521952	rs114802258	-0.2245	0.0384	5.10599e-09	1
hGDNF	Gout	ebi-a-GCST001790	12	0.332588164772727	2115	67259	69374	0.211646	0.10926	rs62360376	0.0527347	rs12518867	0.18	0.054	0.00148837	5
CXCL11	COVID-19 hospitalisation	GCST90134602	11	0.340977657303371	14480	73191	87671	-0.103762	0.0540028	rs6827617	0.0546793	rs543111380	0.91053	0.23615	0.00011536	4
ADA	IgA nephropathy	ieu-a-1081	3	0.349873077669903	977	4980	5957	-0.575631	0.311473	rs11555566	0.0645894	rs6073744	0.257367	0.115882	0.0263548	20
CCL23	COVID-19 hospitalisation	GCST90134602	28	0.349873077669903	14480	73191	87671	-0.0510099	0.0269143	rs712048	0.058057	rs552671892	0.79693	0.18149	1.1279e-05	17
CD244	Inflammatory bowel disease	ebi-a-GCST004131	8	0.349873077669903	25042	34915	59957	-0.0893869	0.0480543	rs11265493	0.0628678	rs10800309	-0.123	0.0133	1.94178e-20	1
CD5	Ulcerative colitis	ebi-a-GCST004133	6	0.349873077669903	12366	33609	45975	-0.149412	0.0804545	rs674379	0.0632971	rs139528358	0.1664	0.0365	5.10799e-06	11
DNER	Systemic lupus erythematosus	ebi-a-GCST003156	16	0.349873077669903	5201	9066	14267	-0.198486	0.10638	rs62193248	0.0620673	rs72990394	-0.235722	0.0642978	0.000246275	2
DNER	Asthma	ebi-a-GCST005212	10	0.349873077669903	19954	107715	127669	0.0842418	0.0456414	rs62193248	0.0649314	rs4528743	0.0411829	0.0120468	0.000629506	2
hGDNF	Rheumatoid arthritis	ieu-a-833	14	0.349873077669903	19234	61565	80799	-0.0951029	0.0506848	rs62360376	0.060606	rs2910721	-0.113329	0.0365053	0.00179999	5
HGF	Inflammatory bowel disease	ebi-a-GCST004131	3	0.349873077669903	25042	34915	59957	0.1702	0.0918289	rs5745687	0.0638176	rs144101315	0.194	0.0504	0.000118299	7
LAP TGF-beta-1	Asthma	ebi-a-GCST005212	3	0.349873077669903	19954	107715	127669	-0.146663	0.0778028	rs1800472	0.0594219	rs3745290	-0.0445443	0.012175	0.000253501	19
LAP TGF-beta-1	Eczema	ieu-a-996	7	0.349873077669903	10788	30047	40835	-0.168784	0.0895752	rs1800472	0.0595291	rs4803459	-0.0732344	0.0190932	0.000126	19
MCP-2	Eczema	ieu-a-996	44	0.349873077669903	10788	30047	40835	-0.0359077	0.0193542	rs1133763	0.0635544	rs189667054	0.98207	0.23843	3.84999e-05	17
OPG	Asthma	ebi-a-GCST005212	3	0.349873077669903	19954	107715	127669	0.121925	0.0653804	rs2247769	0.0622015	rs11996975	0.0821385	0.0221922	0.0002146	8
PD-L1	Rheumatoid arthritis	ieu-a-833	5	0.349873077669903	19234	61565	80799	0.154987	0.082911	rs822335	0.0615789	rs10758687	-0.0582689	0.0167733	9.80009e-05	9
uPA	Inflammatory bowel disease	ebi-a-GCST004131	5	0.349873077669903	25042	34915	59957	-0.12875	0.0689692	rs55744193	0.0619332	rs2675680	0.0652	0.0124	1.60602e-07	10
CD5	Crohn's disease	ebi-a-GCST004132	6	0.351753240566038	12194	28072	40266	0.152767	0.0834585	rs674379	0.0671817	rs102275	0.0856	0.0166	2.70601e-07	11
CX3CL1	Asthma	ebi-a-GCST005212	7	0.351753240566038	19954	107715	127669	-0.107277	0.0584812	rs671623	0.0665965	rs4784754	-0.0534101	0.0142384	0.000175999	16
IL-18R1	Ulcerative colitis	ebi-a-GCST004133	61	0.351753240566038	12366	33609	45975	0.0367437	0.0200046	rs2270297	0.0662444	rs13022757	-0.0829	0.0157	1.40001e-07	2
ADA	Multiple sclerosis	ieu-b-18	14	0.361106341121495	47429	68374	115803	0.0592264	0.0326427	rs11555566	0.0696187	rs4812772	0.0678455	0.0185467	0.000254097	20
CCL4	Gout	ebi-a-GCST001790	8	0.363704618181818	2115	67259	69374	0.217353	0.120354	rs8064426	0.0709265	rs719828	0.24	0.072	0.0011838	17
CSF-1	Ulcerative colitis	ebi-a-GCST004133	5	0.363704618181818	12366	33609	45975	0.143709	0.0798355	rs17610659	0.0718513	rs2813773	0.0792	0.0169	2.87998e-06	1
CXCL11	Eczema	ieu-a-996	10	0.363704618181818	10788	30047	40835	-0.139265	0.0774309	rs6827617	0.0720856	rs143642239	0.187672	0.0480334	9.42996e-05	4
CCL4	COVID-19 hospitalisation	GCST90134602	25	0.364024004464286	14480	73191	87671	-0.0655426	0.0365743	rs8064426	0.0731268	rs552671892	0.79693	0.18149	1.1279e-05	17
CSF-1	Multiple sclerosis	ieu-b-18	4	0.364024004464286	47429	68374	115803	0.147464	0.0823839	rs17610659	0.0734607	rs1413400821	0.0849843	0.0163061	1.86999e-07	1
IL-12B	Asthma	ebi-a-GCST005212	14	0.3846335	19954	107715	127669	-0.0473013	0.0269295	rs10076557	0.0790058	rs1650527	-0.0524177	0.0159186	0.000991791	5
PD-L1	Eczema	ieu-a-996	6	0.3846335	10788	30047	40835	0.17685	0.100622	rs822335	0.0788226	rs192512519	0.53954	0.149089	0.000298003	9
CD244	Rheumatoid arthritis	ieu-a-833	9	0.386946965217391	19234	61565	80799	0.0807067	0.0461273	rs11265493	0.0801782	rs12402741	0.122218	0.0247429	2.30001e-07	1
CXCL6	Gout	ebi-a-GCST001790	10	0.393795743589744	2115	67259	69374	0.159579	0.0920103	rs16850073	0.0828539	rs7656052	0.95	0.32	0.00382543	4
CXCL6	Rheumatoid arthritis	ieu-a-833	11	0.393795743589744	19234	61565	80799	0.0660627	0.0381106	rs16850073	0.0830164	rs62313987	0.587787	0.190832	0.002	4
CD40	Ulcerative colitis	ebi-a-GCST004133	23	0.395726288135593	12366	33609	45975	-0.0627567	0.0363349	rs1883832	0.0841364	rs11696969	-0.1596	0.0392	4.77903e-05	20
TNFSF14	Type 1 diabetes	GCST90014023	9	0.418487722689076	18942	501638	520580	-0.087021	0.0512846	rs344562	0.0897298	rs10417205	0.069824	0.017707	8.04e-05	19
CCL23	Systemic lupus erythematosus	ebi-a-GCST003156	18	0.421620657024793	5201	9066	14267	-0.109684	0.065006	rs712048	0.0915469	rs4796070	-0.105361	0.0326328	0.00124368	17
CXCL11	Inflammatory bowel disease	ebi-a-GCST004131	10	0.421620657024793	25042	34915	59957	0.0858375	0.0509315	rs6827617	0.0919209	rs3796484	-0.0586	0.0144	4.71097e-05	4
TWEAK	Gout	ebi-a-GCST001790	3	0.425043110655738	2115	67259	69374	0.268433	0.160014	rs34790908	0.0934329	rs11658336	-0.12	0.036	0.000864928	17
CX3CL1	Rheumatoid arthritis	ieu-a-833	9	0.427029673228347	19234	61565	80799	0.105736	0.0634398	rs671623	0.0955705	rs34885482	0.0582689	0.0167733	4e-04	16
MCP-2	COVID-19 hospitalisation	GCST90134602	46	0.427029673228347	14480	73191	87671	0.030566	0.0183761	rs1133763	0.096242	rs75228377	0.65033	0.16656	9.4408e-05	17
MCP-2	Primary sclerosing cholangitis	ieu-a-1112	26	0.427029673228347	2871	12019	14890	0.0620916	0.0374944	rs1133763	0.0977167	rs4795901	0.107059	0.03	0.000288755	17
SLAMF1	Crohn's disease	ebi-a-GCST004132	5	0.427029673228347	12194	28072	40266	0.136156	0.0821441	rs60094514	0.0974136	rs114802258	-0.2245	0.0384	5.10599e-09	1
TRAIL	Inflammatory bowel disease	ebi-a-GCST004131	7	0.427029673228347	25042	34915	59957	-0.10523	0.0632523	rs574044675	0.0961825	rs6445040	-0.0671	0.0139	1.37e-06	3
MMP-1	Systemic lupus erythematosus	ebi-a-GCST003156	41	0.4282527421875	5201	9066	14267	-0.0836441	0.0506672	rs471994	0.0987682	rs1940059	-0.198451	0.0491582	5.41427e-05	11
IL10RB	Systemic lupus erythematosus	ebi-a-GCST003156	20	0.433317325581395	5201	9066	14267	-0.10703	0.0652073	rs2266590	0.100717	rs4591	-0.131028	0.0321755	4.65522e-05	21
CCL23	Rheumatoid arthritis	ieu-a-833	15	0.440522840909091	19234	61565	80799	-0.0407902	0.0251097	rs712048	0.104273	rs2586514	0.0618754	0.0162886	0.00025	17
CXCL5	Rheumatoid arthritis	ieu-a-833	7	0.440522840909091	19234	61565	80799	-0.0743982	0.0458614	rs450373	0.104752	rs62313987	0.587787	0.190832	0.002	4
HGF	Multiple sclerosis	ieu-b-18	3	0.440522840909091	47429	68374	115803	-0.191943	0.118327	rs5745687	0.104773	rs17156388	-0.428726	0.126801	0.000722005	7
CD40	Systemic lupus erythematosus	ebi-a-GCST003156	17	0.443424135338346	5201	9066	14267	-0.108363	0.0670883	rs1883832	0.106262	rs79740446	-0.274437	0.0693053	7.5005e-05	20
FGF-5	Multiple sclerosis	ieu-b-18	18	0.443776343283582	47429	68374	115803	-0.049139	0.0304993	rs12509595	0.107146	rs3796594	-0.110378	0.0308161	0.000341201	4
MMP-1	Multiple sclerosis	ieu-b-18	36	0.445862333333333	47429	68374	115803	-0.0495902	0.0308938	rs471994	0.108453	rs11225496	-0.0782859	0.0204097	0.000125199	11
MCP-3	Sepsis	ieu-b-69	3	0.453349301470588	10154	454764	464918	-0.184457	0.115769	rs7213460	0.111091	rs142042679	0.264742	0.0780907	0.0012	17
CD244	Eczema	ieu-a-996	8	0.465723169014085	10788	30047	40835	0.116734	0.074182	rs11265493	0.115578	rs55683149	-0.189236	0.0580437	0.001119	1
CXCL11	Crohn's disease	ebi-a-GCST004132	10	0.465723169014085	12194	28072	40266	0.10225	0.0655015	rs6827617	0.118514	rs3796484	-0.0666	0.0186	0.000330902	4
IL10RB	Rheumatoid arthritis	ieu-a-833	21	0.465723169014085	19234	61565	80799	0.0613348	0.0391543	rs2266590	0.117234	rs8126756	-0.0861777	0.0163135	2.69998e-07	21
IL-12B	Systemic lupus erythematosus	ebi-a-GCST003156	22	0.465723169014085	5201	9066	14267	-0.0928866	0.0595407	rs10076557	0.118748	rs28694840	-0.162519	0.0401031	5.06664e-05	5
MCP-3	Type 1 diabetes	GCST90014023	3	0.465723169014085	18942	501638	520580	-0.175371	0.112539	rs7213460	0.119158	rs11268345	0.281767	0.056705	6.73e-07	17
TNFSF14	Crohn's disease	ebi-a-GCST004132	9	0.465723169014085	12194	28072	40266	0.0870948	0.0554693	rs344562	0.116382	rs10411506	0.0855	0.0242	0.000417898	19
CDCP1	Gout	ebi-a-GCST001790	6	0.466704545454545	2115	67259	69374	-0.188761	0.121489	rs2276862	0.12025	rs978316	0.86	0.23	0.000237279	3
ST1A1	Systemic lupus erythematosus	ebi-a-GCST003156	7	0.471237395833333	5201	9066	14267	-0.19607	0.126879	rs149278	0.122267	rs34763945	-0.274437	0.0739423	0.000206035	16
CXCL5	Systemic lupus erythematosus	ebi-a-GCST003156	9	0.473626428571429	5201	9066	14267	0.110383	0.071741	rs450373	0.123894	rs7670454	0.116534	0.0302883	0.000119336	4
FGF-5	Sepsis	ieu-b-69	36	0.473626428571429	10154	454764	464918	-0.0385438	0.0251064	rs12509595	0.124731	rs749088692	0.150379	0.0378228	2.99999e-05	4
PD-L1	Multiple sclerosis	ieu-b-18	6	0.473626428571429	47429	68374	115803	-0.149947	0.0978569	rs822335	0.125447	rs75900472	-0.0847957	0.017277	9.20111e-07	9
